text,author,created_at,uri,scraped_at
"How can “storying” —the act of creating and sharing stories to find, suggest, and transmit meaning — shape the way we grow and heal following climate impacts like wildfire?",resilienceinstitute.ca,2025-11-03T20:39:24.340088Z,at://did:plc:jeva2qooz7kjzr56byjwbdpk/app.bsky.feed.post/3m4quuzeewq2l,2025-11-03T20:40:03.670719+00:00
"@billkellypodcast.bsky.social ""Don't listen to PP""
#Bluesky #Politics #Resist #Democracy #Resistance #Canadasky #Canada #cdnpoli #Boycotts #America #𝓢𝓽𝓮𝓿𝓮𝓜𝓲𝓵𝓮𝓼𝓝𝓮𝓽 #neverthe51ststate #BoycottUsCars #MarkCarney #NeverVoteConservative #NeverPierrePoilievre
youtu.be/FgH2CHDjqNc?...",stevemilesnet.bsky.social,2025-11-03T20:39:09.935Z,at://did:plc:px2esgvbnl7ransisaced6wu/app.bsky.feed.post/3m4quuliags2r,2025-11-03T20:40:03.670737+00:00
"Scenic drives through the Canadian Rockies 🚗🌄 (Icefields Parkway, Alberta, Canada)

#canada #alberta #canadianrockies #travel #autumn #fall #roadtrip #photography",argenel.bsky.social,2025-11-03T20:39:04.659Z,at://did:plc:bezg2lqbvlpc52ejad25wlj2/app.bsky.feed.post/3m4quughey22e,2025-11-03T20:40:03.670740+00:00
"Talk is fine. Spending that much money/locking us into a deal without consulting Canada isn't fine. A lot of people are saying wait and see, but when his budget comes out and decimates public services, will they then see that it's a problem and do something about it?",dooodlebugg83.bsky.social,2025-11-03T20:38:56.969Z,at://did:plc:jwiqvf3wxqcqlqy7aght25zo/app.bsky.feed.post/3m4quu74je22q,2025-11-03T20:40:03.670742+00:00
Lunatics in thinking anyone in Canada is going to vote for someone who says AI must become as dear to them as their two most sacred things 😅 (third is the store called Canadian Tire🙏),palomar-qfwfq.bsky.social,2025-11-03T20:38:22.591Z,at://did:plc:gv3pxhyytw6rihwvunu4l6jy/app.bsky.feed.post/3m4qut6dh222u,2025-11-03T20:40:03.670744+00:00
Radio-Canada Info:  Doug Ford sommé à maintes reprises de retirer ses publicités contre les tarifs douaniers ,aricierss.bsky.social,2025-11-03T20:38:19.141Z,at://did:plc:2rker5jsweiukz55nxst6hjk/app.bsky.feed.post/3m4qut35xou2p,2025-11-03T20:40:03.670746+00:00
CBC Canada: Carly Rae Jepsen announces pregnancy,aricierss.bsky.social,2025-11-03T20:38:17.180Z,at://did:plc:2rker5jsweiukz55nxst6hjk/app.bsky.feed.post/3m4quszb7al2x,2025-11-03T20:40:03.670748+00:00
"Donc si on récapitule :

📍Montréal : droite 
📍Le Québec : droite (de plus en plus) 
📍Le Canada : centre-droit (mais plus à droite qu’au centre)
📍Les États-Unis : droite (droite dure)
…",matcarbasse.bsky.social,2025-11-03T20:38:09.083Z,at://did:plc:xweyqeta67tevm3ywxmidouc/app.bsky.feed.post/3m4qusrh6ns2f,2025-11-03T20:40:03.670750+00:00
"🍆Bathhouse Babylon🍆

What you’ve always wanted to know about the bathhouse world. 💥

🔥Bathhouse Babylon is available on Amazon and other online retailers.

🌈 rb.gy/mkpujv 

#book #bathhouse #gay #lgbtq #fetish #sauna #ebook #steambath #usa #canada #uk #europe #sex",gayriviera.bsky.social,2025-11-03T20:37:54.423Z,at://did:plc:slioqpdnlm4s6ys4el4pamby/app.bsky.feed.post/3m4qusdi32222,2025-11-03T20:40:03.670752+00:00
"Canada is leading in safety with the new draft of the CSA standard on respirators.

@dickzoutman.bsky.social, @juliamwright.bsky.social, @mark-ungrin.bsky.social, and I explain key updates that bring protections up to date with the evidence on respirator use against airborne disease transmission.",ryantennant.ca,2025-11-03T20:37:40.010Z,at://did:plc:xx7o52o4rymlkqyzykn7t42b/app.bsky.feed.post/3m4qurvpx2k2o,2025-11-03T20:40:03.670754+00:00
"Feed: ""Water Canada""
Published on Monday, November 3, 2025",longtail.news,2025-11-03T20:37:39.793341+00:00,at://did:plc:o6ggjvnj4ze3mnrpnv5oravg/app.bsky.feed.post/3m4qurvvldm27,2025-11-03T20:40:03.670755+00:00
"Feed: ""Water Canada""
Published on Monday, November 3, 2025",longtail.news,2025-11-03T20:37:34.570736+00:00,at://did:plc:o6ggjvnj4ze3mnrpnv5oravg/app.bsky.feed.post/3m4qurqwhdh2y,2025-11-03T20:40:03.670758+00:00
"I'm arguing online because I am also not entirely sure if I DO like him in particular, I just logically know that voting for either of the two other parties means voting for my own destruction, and likely the end of canada as we know it, too... :)

trying to understand the big picture here",hopeagainsthope.bsky.social,2025-11-03T20:37:24.222Z,at://did:plc:qbruj5d5xw3qqorquiq34a7q/app.bsky.feed.post/3m4qurgo44c2h,2025-11-03T20:40:03.670759+00:00
Canada should throw export duties on auto makers assembly machinery to prevent it wandering across the border.,bcreality.bsky.social,2025-11-03T20:36:32.310Z,at://did:plc:2pondrlrs5xlg5astgfpm6i5/app.bsky.feed.post/3m4qupv5wqs2a,2025-11-03T20:40:03.670761+00:00
"For Canadian Innovation Week, we're highlighting how dignity and self-determination are powerful enablers for youth-led climate innovation. #Youth #Innovation #Canada",artsincubator.ca,2025-11-03T14:36:16-06:00,at://did:plc:icicxvrvp5ikcs3wnde3zrpt/app.bsky.feed.post/3m4qupgv5w52b,2025-11-03T20:40:03.670763+00:00
"Jamaicans rush to ready island for busy tourism season in wake of Hurricane Melissa

Jamaica's peak tourism season is one month away, and officials in the hurricane-ravaged nation are rushing to rebuild from the catastrophic Category 5 storm that shre...

#cbc #cbc-world-news #Canada ",scrubfire84.bsky.social,2025-11-03T20:36:08.248525+00:00,at://did:plc:bnk5d72upa2mfzwglo6ynbs3/app.bsky.feed.post/3m4qup6ban42r,2025-11-03T20:40:03.670764+00:00
"Carly Rae Jepsen announces pregnancy

Canadian singer-songwriter Carly Rae Jepsen is expecting her first child with her new husband, music producer Cole M.G.N.

#cbc #cbc-top-stories #Canada ",scrubfire84.bsky.social,2025-11-03T20:35:56.418732+00:00,at://did:plc:bnk5d72upa2mfzwglo6ynbs3/app.bsky.feed.post/3m4quosy72625,2025-11-03T20:40:03.670767+00:00
"Ottawa summit propels Aerospace Industries Association of Canada to top of comms ranking
#lobbying #cdnpoli
lobbymonitor.ca/2025/11/03/c...",lobbymonitor.bsky.social,2025-11-03T20:35:23.153Z,at://did:plc:ukmih2yfe2qfzn3zmycpbmzr/app.bsky.feed.post/3m4qunt7fnc2s,2025-11-03T20:40:03.670769+00:00
"@elizabethemay.bsky.social I hope you will be voting for the budget tomorrow. As one of your voters, the last thing we need is an election. I need my MP to be Team Canada as we face the threat that is Donal Trump.",lisainyyj.bsky.social,2025-11-03T20:35:06.747Z,at://did:plc:b34xdrf7yns3f525ahvp7qr6/app.bsky.feed.post/3m4qundkr5227,2025-11-03T20:40:03.670770+00:00
